employee_id,age,gender
1,33,Male
2,24,Non-binary
3,36,Prefer not to say
4,38,Non-binary
5,22,Non-binary
6,22,Female
7,32,Male
8,29,Female
9,31,Male
10,25,Male
11,37,Female
12,36,Male
13,31,Male
14,39,Female
15,34,Female
16,25,Male
17,34,Male
18,24,Male
19,37,Female
20,31,Male
21,30,Male
22,26,Male
23,40,Female
24,30,Non-binary
25,28,Male
26,29,Male
27,35,Male
28,34,Male
29,34,Male
30,34,Male
31,46,Male
32,28,Male
33,27,Male
34,25,Male
35,35,Male
36,39,Non-binary
37,30,Male
38,25,Male
39,25,Male
40,36,Female
41,36,Male
42,35,Female
43,26,Male
44,33,Male
45,32,Male
46,33,Male
47,37,Male
48,33,Male
49,36,Female
50,31,Male
51,33,Non-binary
52,35,Male
53,22,Male
54,29,Male
55,28,Male
56,27,Male
57,29,Male
58,41,Female
59,25,Female
60,38,Male
61,22,Male
62,29,Male
63,32,Male
64,35,Male
65,36,Male
66,37,Female
67,29,Male
68,28,Male
69,37,Male
70,30,Male
71,22,Male
72,23,Male
73,25,Male
74,34,Male
75,32,Male
76,36,Female
77,28,Male
78,32,Male
79,35,Female
80,29,Male
81,34,Male
82,26,Female
83,28,Male
84,28,Female
85,23,Male
86,34,Female
87,28,Male
88,31,Female
89,34,Female
90,34,Male
91,36,Male
92,30,Female
93,28,Female
94,30,Female
95,22,Male
96,22,Female
97,22,Male
98,24,Female
99,34,Male
100,25,Male
101,28,Male
102,40,Male
103,29,Male
104,36,Female
105,24,Male
106,30,Female
107,24,Female
108,29,Male
109,37,Male
110,22,Female
111,34,Male
112,33,Male
113,27,Male
114,22,Female
115,32,Male
116,27,Male
117,33,Male
118,31,Male
119,42,Male
120,29,Male
121,24,Male
122,32,Male
123,33,Female
124,41,Male
125,37,Male
126,33,Non-binary
127,41,Male
128,23,Female
129,27,Male
130,25,Male
131,28,Female
132,22,Female
133,35,Male
134,29,Male
135,22,Female
136,24,Female
137,33,Male
138,37,Male
139,45,Non-binary
140,51,Male
141,34,Female
142,24,Male
143,22,Female
144,33,Female
145,25,Male
146,28,Male
147,27,Male
148,30,Female
149,38,Female
150,32,Male
151,30,Male
152,24,Female
153,22,Male
154,28,Male
155,31,Female
156,43,Male
157,32,Male
158,38,Female
159,28,Male
160,23,Female
161,24,Female
162,26,Male
163,46,Male
164,25,Male
165,37,Male
166,25,Male
167,38,Male
168,34,Male
169,30,Male
170,31,Female
171,26,Male
172,34,Female
173,28,Male
174,22,Male
175,22,Male
176,32,Female
