job_profiles_id,employee_id,job_role,seniority_level,years_experience,work_mode,salary_usd
1,1,Software Engineer,Lead,11,Remote,40000
2,2,Full Stack Developer,Manager,0,Hybrid,131165
3,3,Software Engineer,Lead,14,On-site,169180
4,4,Software Engineer,Lead,14,Remote,147770
5,5,ML Engineer,Junior,0,Hybrid,57228
6,6,Data Analyst,Principal,0,Remote,57714
7,7,Data Analyst,Junior,10,Hybrid,42823
8,8,DevOps Engineer,Mid,8,Hybrid,77421
9,9,Software Engineer,Mid,9,Hybrid,98067
10,10,Product Manager,Mid,3,Hybrid,68349
11,11,Data Analyst,Lead,15,Remote,98323
12,12,Product Manager,Lead,16,Remote,116797
13,13,Data Scientist,Mid,8,Remote,88189
14,14,Frontend Developer,Manager,17,Remote,40000
15,15,Software Engineer,Manager,10,Hybrid,46207
16,16,Software Engineer,Senior,2,Hybrid,71636
17,17,Frontend Developer,Mid,12,Hybrid,76004
18,18,ML Engineer,Manager,2,Remote,58023
19,19,Data Scientist,Manager,14,Hybrid,50610
20,20,Product Manager,Senior,10,Remote,138649
21,21,Data Scientist,Junior,7,On-site,65060
22,22,Data Scientist,Senior,5,Remote,139829
23,23,Product Manager,Mid,16,Remote,110936
24,24,Data Scientist,Manager,6,On-site,45720
25,25,Data Analyst,Mid,4,Hybrid,73642
26,26,Data Scientist,Senior,6,Hybrid,135568
27,27,Product Manager,Junior,13,On-site,65343
28,28,Cybersecurity Engineer,Junior,15,Hybrid,69841
29,29,Software Engineer,Junior,9,Remote,43996
30,30,Software Engineer,Senior,11,Remote,93202
31,31,Data Scientist,Junior,25,Hybrid,60923
32,32,Product Manager,Principal,7,On-site,63488
33,33,Data Analyst,Manager,5,On-site,105741
34,34,Data Scientist,Junior,3,Hybrid,65860
35,35,DevOps Engineer,Senior,13,Remote,40000
36,36,Cybersecurity Engineer,Mid,18,On-site,68602
37,37,Cybersecurity Engineer,Junior,7,Remote,48844
38,38,DevOps Engineer,Senior,2,Hybrid,132160
39,39,Data Scientist,Senior,1,Hybrid,88888
40,40,Full Stack Developer,Lead,16,On-site,163016
41,41,Product Manager,Mid,15,Hybrid,84955
42,42,DevOps Engineer,Senior,16,Hybrid,40000
43,43,Software Engineer,Mid,5,Hybrid,56912
44,44,Product Manager,Senior,11,Remote,110912
45,45,Product Manager,Mid,9,On-site,93714
46,46,DevOps Engineer,Junior,12,On-site,40000
47,47,Product Manager,Junior,15,Hybrid,71571
48,48,Software Engineer,Manager,10,Hybrid,47544
49,49,DevOps Engineer,Senior,16,Remote,136363
50,50,Data Scientist,Mid,8,On-site,40000
51,51,Full Stack Developer,Mid,11,Hybrid,40000
52,52,ML Engineer,Manager,13,Hybrid,43157
53,53,Backend Developer,Mid,4,Hybrid,100516
54,54,Frontend Developer,Senior,8,On-site,83342
55,55,Software Engineer,Mid,5,Remote,78055
56,56,DevOps Engineer,Lead,4,Hybrid,103535
57,57,Software Engineer,Lead,10,Hybrid,134494
58,58,Data Analyst,Junior,18,Remote,40771
59,59,Product Manager,Mid,2,On-site,76096
60,60,DevOps Engineer,Junior,14,Hybrid,56344
61,61,DevOps Engineer,Mid,1,Hybrid,77129
62,62,Data Scientist,Senior,6,On-site,81121
63,63,Full Stack Developer,Mid,9,Remote,94929
64,64,Data Scientist,Mid,13,Hybrid,107776
65,65,Software Engineer,Junior,13,Remote,73304
66,66,Data Analyst,Mid,17,Remote,81065
67,67,Backend Developer,Senior,5,On-site,45937
68,68,DevOps Engineer,Mid,5,On-site,91134
69,69,Backend Developer,Manager,13,Hybrid,106431
70,70,QA Engineer,Senior,10,On-site,40000
71,71,Product Manager,Mid,0,Remote,100148
72,72,Cybersecurity Engineer,Senior,3,Remote,40000
73,73,Software Engineer,Senior,4,Remote,80076
74,74,Data Analyst,Senior,13,Remote,90171
75,75,Data Scientist,Senior,10,Remote,140393
76,76,Backend Developer,Senior,15,Hybrid,126396
77,77,Product Manager,Manager,7,Remote,60842
78,78,ML Engineer,Manager,11,Hybrid,141856
79,79,ML Engineer,Junior,10,Remote,59872
80,80,Full Stack Developer,Junior,8,Hybrid,62433
81,81,Software Engineer,Principal,13,On-site,191899
82,82,Software Engineer,Lead,2,Hybrid,48117
83,83,Cybersecurity Engineer,Senior,4,On-site,40000
84,84,Product Manager,Senior,7,Hybrid,139979
85,85,Data Scientist,Mid,0,Remote,82546
86,86,Cybersecurity Engineer,Junior,12,On-site,58113
87,87,Data Scientist,Lead,6,Hybrid,164598
