metric_id,employee_id,work_hours_per_week,ai_tools_daily,deadline_pressure_score,job_change_intention
1,1,55,0,8.3,1
2,2,44,1,9.3,1
3,3,45,1,8.9,1
4,4,54,1,6.2,1
5,5,49,1,5.4,0
6,6,50,1,2.6,1
7,7,41,1,4.3,1
8,8,39,1,10,0
9,9,45,1,5.4,0
10,10,52,1,7.6,1
11,11,60,1,5.3,0
12,12,54,1,6.7,0
13,13,47,1,8.2,0
14,14,38,1,4.3,0
15,15,43,0,5.3,0
16,16,42,0,8.3,0
17,17,47,0,6.3,1
18,18,58,1,7.8,1
19,19,48,0,6.6,0
20,20,48,0,7.2,0
21,21,52,0,6,1
22,22,43,1,9.8,0
23,23,51,1,7.5,0
24,24,54,1,6.6,0
25,25,44,1,3.6,1
26,26,52,1,7.6,1
27,27,45,1,9,0
28,28,53,1,9.4,1
29,29,49,1,7.5,1
30,30,52,0,5.2,0
31,31,57,0,8.7,0
32,32,45,0,9,0
33,33,55,1,3.1,1
34,34,51,1,6.2,1
35,35,54,0,8.2,0
36,36,47,1,6.2,0
37,37,48,1,7,1
38,38,48,1,5.5,1
39,39,47,1,4.2,0
40,40,50,1,3,1
41,41,46,1,7.9,0
42,42,45,1,6.8,0
43,43,41,1,9.5,0
44,44,47,0,9.8,1
45,45,49,1,4.6,0
46,46,46,1,5.8,0
47,47,48,0,8.6,0
48,48,55,1,6.3,1
49,49,49,0,4.1,1
50,50,50,1,5.6,1
51,51,47,0,3.9,0
52,52,50,1,4.3,0
53,53,50,1,7.3,0
54,54,47,1,5.6,0
55,55,47,0,7.3,0
56,56,50,1,8.1,0
57,57,55,1,8.4,0
58,58,45,1,6.6,0
59,59,49,0,5.1,1
60,60,40,1,7.1,0
61,61,39,1,10,0
62,62,40,1,4.6,0
63,63,38,1,4,0
64,64,54,1,8.4,0
65,65,45,1,6.3,0
66,66,48,1,3.7,1
67,67,48,1,5.9,0
68,68,51,0,10,0
69,69,51,0,9,0
70,70,53,0,8.5,0
71,71,44,1,8.4,1
72,72,44,1,7.5,0
73,73,43,1,7.1,0
74,74,50,1,5,0
75,75,41,0,5.8,0
76,76,48,0,5.4,0
77,77,54,1,6.3,0
78,78,52,1,6.2,0
79,79,49,1,4.6,0
80,80,55,0,6.4,1
81,81,54,1,3.7,0
82,82,51,0,7.6,1
83,83,49,0,6,0
84,84,45,1,6.6,0
85,85,49,0,8.5,1
86,86,47,0,9,0
87,87,42,0,7.8,0
88,88,47,0,4.4,0
89,89,49,1,8.3,1
90,90,46,1,6.6,0
